,state,district,year,total_pop,under_5,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_34,X35_to_44,X45_to_54,X55_to_59,X60_to_64,X65_to_74,X75_to_84,X85_over,median_age,white_pct,black_pct,amer_ind,asian_pct,pac_isl_pct,hispanic_pct
1020,IL,18,2014,710629,5.6,5.9,6.8,6.4,6.9,12,12,13.9,7.1,6.6,9.1,5.1,2.6,40.4,91.3,3.4,0.1,2.6,0.1,2.7
1021,IN,1,2014,718064,6.1,6.1,7.3,6.8,6.5,12.5,12.9,13.6,7.3,6.2,8.3,4.2,2.1,38.9,69.9,19.4,0.3,1.3,0,15
1022,IN,2,2014,721627,6.5,6.7,7.6,7,6.8,12.3,12.3,13.1,6.6,6.3,8.1,4.5,2.1,37.1,86.5,6.8,0.3,1.1,0.1,9.1
1023,IN,3,2014,734384,6.9,7.3,7.2,7.2,6.6,12.4,12.4,13,7,5.8,8.1,4.3,1.9,37,87.1,6,0.2,2.2,0,5.8
1024,IN,4,2014,742958,5.7,6.5,6.9,7.6,8.8,12.2,12.5,13.2,6.6,5.7,8,4.3,1.9,37,89.8,3.7,0.2,2.7,0,5.9
1025,IN,5,2014,743454,6.6,6.8,7,6.8,5.6,13.4,13.8,14.1,6.7,5.6,7.7,4.2,1.7,37.9,85.8,7.5,0.1,3.5,0,3.8
1026,IN,6,2014,720106,5.6,6.5,6.2,7.2,7.4,11.3,12.4,14,7.2,6.1,9.3,4.8,2.1,40,93.3,2.9,0.2,1.3,0,2.2
1027,IN,7,2014,756223,7.6,7.9,6.4,6.2,7.8,16.3,12.8,13.1,6.2,5,6.1,3.1,1.3,33.4,60.8,29.8,0.2,2.5,0.2,11
1028,IN,8,2014,723064,5.9,6.4,6.6,6.8,7.1,12.2,12.1,13.5,7.2,6.3,9,4.6,2.4,39.3,92.2,4.1,0.2,1,0.1,1.9
1029,IN,9,2014,736975,6,6.2,6.2,7.6,8.5,12.4,12.2,13.5,6.5,6.1,8.6,4.2,1.8,37.6,92,2.9,0.2,2.2,0,3.2
1030,IA,1,2014,770612,6.1,6.4,6.7,7,7.1,12.3,11.3,13.3,6.9,6.3,8.6,5.4,2.5,38.6,91.5,3.5,0.3,1.6,0.2,3.7
1031,IA,2,2014,776785,6.1,6.3,6.4,7.1,7.6,12.4,11.9,13.2,6.8,6.4,8.6,5,2.2,38.4,90.4,3.8,0.3,2.3,0,5.2
1032,IA,3,2014,801039,6.9,6.9,7.2,6.4,6.2,14.1,13.1,13.6,6.6,5.6,7.5,4,2,37,90.1,4,0.2,2.9,0.1,6.6
1033,IA,4,2014,758690,5.8,6.5,6.5,7.6,7.7,11.4,10.7,12.6,7.4,6.3,8.7,5.9,2.9,39.1,93.4,1.3,0.6,1.9,0,6.5
1034,KS,1,2014,718346,7,7.1,6.2,7.6,8.9,13.1,10.9,11.5,6.4,5.8,7.9,5,2.6,35.1,87.5,3.1,0.7,1.4,0.1,15.5
1035,KS,2,2014,715446,6.3,6.6,6.5,7.4,8.2,12.4,11.6,12.5,6.9,6.2,8.6,4.7,2.2,37.2,87.5,4.8,1.4,1.5,0,6.3
