,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
1209,IL,10,Brad Schneider,57.5,41.1,299.78,IL
1210,GA,6,Tom Price,37.5,60.8,298.76,GA
1211,MD,4,Donna Edwards,78.3,20.7,297.81,MD
1212,AZ,5,Matt Salmon,34.6,63.8,293.47,AZ
1213,CA,33,Henry Waxman,60.6,36.8,288.58,CA
1214,IL,11,Bill Foster,57.8,40.6,280.95,IL
1215,RI,1,David Cicilline,66.2,32.2,268.49,RI
1216,CA,52,Scott Peters,52.1,45.7,267,CA
1217,FL,14,Kathy Castor,65.1,34.0,265.4,FL
1218,MA,5,Ed Markey,65.2,33.1,265.08,MA
1219,GA,5,John Lewis,83.1,15.8,264.91,GA
1220,TX,24,Kenny Marchant,38.0,60.4,262.76,TX
1221,FL,21,Ted Deutch,60.6,38.9,260.97,FL
1222,CA,14,Jackie Speier,74.2,23.6,259.5,CA
1223,IL,1,Bobby Rush,79.0,20.2,258.38,IL
1224,NY,3,Steve Israel,50.8,48.2,254.92,NY
1225,OH,11,Marcia Fudge,82.8,16.5,244.46,OH
1226,IL,3,Dan Lipinski,55.9,42.6,237.18,IL
1227,TX,18,Sheila Jackson Lee,76.1,22.8,235.2,TX
1228,OH,3,Joyce Beatty,69.7,28.9,228,OH
1229,MO,1,Lacy Clay,79.9,18.9,225.36,MO
1230,NY,26,Brian Higgins,63.9,34.3,219.13,NY
1231,CA,28,Adam Schiff,70.3,26.5,218.45,CA
1232,CA,31,Gary Miller,57.2,40.6,218.24,CA
1233,CA,47,Alan Lowenthal,60.0,37.5,216.21,CA
1234,NJ,6,Frank Pallone,61.4,37.4,215.55,NJ
1235,TX,33,Marc Veasey,72.0,27.1,211.94,TX
1236,PA,14,Mike Doyle,68.0,30.6,209.29,PA
1237,HI,1,Colleen Hanabusa,69.7,29.0,209.22,HI
1238,FL,27,Ileana Ros-Lehtinen,53.1,46.4,208.84,FL
1239,IL,8,Tammy Duckworth,57.4,40.9,205.52,IL
1240,AZ,7,Ed Pastor,71.7,26.5,205.12,AZ
1241,CA,39,Ed Royce,47.1,50.8,204.4,CA
1242,TX,20,Joaquin Castro,58.9,39.7,199.68,TX
1243,CO,1,Diana DeGette,69.0,28.8,189.62,CO
1244,TX,29,Gene Green,65.9,33.0,187.07,TX
1245,FL,13,Bill Young,50.1,48.6,186.03,FL
1246,MI,14,Gary Peters,81.0,18.6,185.73,MI
1247,TX,32,Pete Sessions,41.5,57.0,185.66,TX
1248,VA,11,Gerry Connolly,62.5,36.3,185.09,VA
1249,MI,13,John Conyers,85.2,14.3,184.85,MI
1250,CA,17,Mike Honda,71.9,25.5,184.85,CA
1251,MI,9,Sander Levin,57.2,41.9,183.59,MI
1252,WA,9,Adam Smith,68.3,29.6,183.43,WA
1253,NY,2,Peter King,51.6,47.2,182.01,NY
1254,CA,6,Doris Matsui,69.1,28.3,175.04,CA
1255,FL,22,Lois Frankel,54.4,44.9,172.88,FL
1256,FL,23,D.W. Schultz,61.5,37.9,169.1,FL
1257,CA,35,Gloria McLeod,67.4,30.6,168.88,CA
1258,TX,9,Al Green,78.0,21.1,165.64,TX
1259,AZ,9,Kyrsten Sinema,51.1,46.6,164.79,AZ
1260,TX,7,John Culberson,38.6,59.9,161.94,TX
1261,PA,13,Allyson Schwartz,66.2,32.9,155.18,PA
1262,VA,8,Jim Moran,67.8,31.0,149.24,VA
1263,CA,48,Dana Rohrabacher,43.0,54.7,145.47,CA
1264,WA,7,Jim McDermott,79.2,18.1,144.13,WA
1265,CA,30,Brad Sherman,65.3,32.1,135.94,CA
1266,MN,5,Keith Ellison,73.5,24.0,135.66,MN
1267,CA,53,Susan Davis,61.4,36.4,135.43,CA
1268,WI,4,Gwen Moore,75.3,23.8,128.35,WI
1269,CA,32,Grace Napolitano,65.2,32.5,124.23,CA
1270,NY,4,Carolyn McCarthy,56.3,42.8,110.85,NY
1271,FL,24,Frederica Wilson,87.5,12.1,106.08,FL
1272,IL,9,Jan Schakowsky,65.0,33.3,105.35,IL
1273,NV,1,Dina Titus,65.6,32.4,104.5,NV
1274,CA,38,Linda Sanchez,64.9,33.0,101.46,CA
1275,CA,13,Barbara Lee,87.5,9.0,96.79,CA
1276,IL,5,Mike Quigley,66.0,31.8,95.71,IL
1277,NJ,9,Bill Pascrell,68.3,30.8,95.34,NJ
1278,CA,29,Tony Cardenas,77.0,20.5,92.03,CA
1279,CA,44,Janice Hahn,84.7,13.6,79.36,CA
1280,NY,16,Eliot Engel,73.7,25.5,78.37,NY
1281,PA,1,Robert Brady,82.3,16.9,77.91,PA
1282,NJ,10,Donald Payne Jr.,87.9,11.5,75.92,NJ
1283,PA,2,Chaka Fattah,90.4,9.0,74.14,PA
1284,CA,43,Maxine Waters,78.0,20.0,72.03,CA
1285,CA,46,Loretta Sanchez,61.4,36.2,71.72,CA
1286,NY,11,Mike Grimm,51.6,47.3,65.83,NY
1287,MA,7,Mike Capuano,82.5,15.6,62.67,MA
1288,IL,7,Danny Davis,87.2,11.8,62.52,IL
1289,CA,40,L. Roybal-Allard,81.5,16.5,57.69,CA
1290,CA,37,Karen Bass,84.9,12.7,55.26,CA
1291,NJ,8,Albio Sires,78.3,20.7,54.69,NJ
1292,IL,4,Luis Gutierrez,80.9,17.1,52.45,IL
1293,NY,5,Gregory Meeks,90.6,9.1,51.88,NY
1294,CA,34,Xavier Becerra,83.0,14.1,47.66,CA
1295,CA,12,Nancy Pelosi,84.1,12.5,38.97,CA
1296,NY,6,Grace Meng,67.8,31.0,29.78,NY
1297,NY,8,Hakeem Jeffries,89.2,10.2,29.66,NY
1298,NY,14,Joe Crowley,80.7,18.3,28.29,NY
1299,NY,7,Nydia Velazquez,88.4,10.3,16.16,NY
1300,NY,9,Yvette Clarke,85.2,13.9,15.54,NY
1301,NY,12,Carolyn Maloney,76.9,21.5,14.79,NY
1302,NY,15,Jose E. Serrano,96.7,3.0,14.54,NY
1303,NY,10,Jerrold Nadler,73.6,25.1,14.25,NY
1304,NY,13,Charles Rangel,94.6,4.6,10.25,NY
